date,event_type,event_name,start_time,end_time,expected_demand_multiplier,affected_zones,confidence,provenance,source
2026-09-01,holiday,Founding Day,09:00,17:00,0.05,all_zones,SYNTHETIC,SYNTHETIC,calendar
2026-09-05,academic,Semester Start,08:00,22:00,1.20,academic_zone|hostel_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-09,holiday,Mid-Month Holiday,00:00,23:59,0.05,all_zones,SYNTHETIC,SYNTHETIC,calendar
2026-09-12,academic,Classes In Session,08:00,17:00,1.00,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-15,placement,Placement Drive Week 1,09:00,17:00,1.15,admin_zone|academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-16,placement,Placement Drive Week 1,09:00,17:00,1.15,admin_zone|academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-17,placement,Placement Drive Week 1,09:00,17:00,1.15,admin_zone|academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-18,placement,Placement Drive Week 1,09:00,17:00,1.15,admin_zone|academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-19,placement,Placement Drive Week 1,09:00,17:00,1.15,admin_zone|academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-20,event,Sports Festival,10:00,18:00,1.50,sports_zone|academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-21,event,Sports Festival,10:00,18:00,1.50,sports_zone|academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-23,academic,Exam Period Start,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-24,academic,Exam Period,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-25,academic,Exam Period,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-26,academic,Exam Period,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-27,academic,Exam Period,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-28,academic,Exam Period,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-29,academic,Exam Period,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
2026-09-30,academic,Exam Period End,08:00,17:00,0.40,academic_zone,SYNTHETIC,SYNTHETIC,calendar
