campus_id,event_id,event_type,name,start_time,end_time,expected_demand_multiplier,affected_zones,status,confidence,provenance,source
vitap,event-semester-start-2026,academic,Semester Start 2026 Fall,2026-09-05T08:00:00,2026-09-05T22:00:00,1.20,academic_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-placement-drive-1,placement,Placement Drive Week 1,2026-09-15T09:00:00,2026-09-19T17:00:00,1.15,admin_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-placement-drive-2,placement,Placement Drive Week 2,2026-10-15T09:00:00,2026-10-19T17:00:00,1.15,admin_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-sports-fest-2026,event,Sports Festival 2026,2026-09-20T10:00:00,2026-09-21T18:00:00,1.50,sports_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-exam-period-2026-fall,academic,Exam Period Fall 2026,2026-09-23T08:00:00,2026-09-30T17:00:00,0.40,academic_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-cultural-fest,event,Cultural Festival,2026-10-10T18:00:00,2026-10-11T23:59:00,1.40,academic_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-tech-summit,event,Tech Summit 2026,2026-10-05T09:00:00,2026-10-06T17:00:00,1.25,academic_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-guest-lecture,event,Guest Lecture Series,2026-09-12T15:00:00,2026-09-12T17:00:00,1.05,academic_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-maintenance-day,maintenance,Facility Maintenance,2026-09-08T00:00:00,2026-09-08T06:00:00,0.10,all_zones,scheduled,SYNTHETIC,SYNTHETIC,calendar
vitap,event-lab-practical,academic,Lab Practical Week,2026-09-22T08:00:00,2026-09-22T17:00:00,0.95,academic_zone,scheduled,SYNTHETIC,SYNTHETIC,calendar
